Award,Category,Year,Nominee,Won,Tony
DramaDesk,Music,2015,The Visit ˆ,0,
DramaDesk,Music,2015,Ghost Quartet,0,
DramaDesk,Music,2015,The Last Ship ˆ,0,
DramaDesk,Music,2016,Bright Star ˆ,1,0
DramaDesk,Music,2016,Waitress ˆ,0,
DramaDesk,Music,2016,First Daughter Suite,0,
DramaDesk,Music,2016,School of Rock ˆ,0,
DramaDesk,Music,2016,SeaWife,0,
DramaDesk,Music,2017,The Band's Visit Ê,1,1
DramaDesk,Music,2017,Anastasia,0,
DramaDesk,Music,2017,Beardo,0,
DramaDesk,Music,2017,Bandstand,0,
DramaDesk,Music,2017,Come from Away ˆ,0,
DramaDesk,Music,2018,Desperate Measures,1,0
DramaDesk,Music,2018,The Lucky Ones,0,
DramaDesk,Music,2018,Old Stock: A Refugee Love Story,0,
DramaDesk,Music,2018,Miss You Like Hell,0,
DramaDesk,Music,2018,KPOP,0,
DramaDesk,Actress,2000,Heather Headley,1,1
DramaDesk,Actress,2000,Toni Collette,0,
DramaDesk,Actress,2000,Rebecca Luker,0,
DramaDesk,Actress,2000,Marin Mazzie,0,
DramaDesk,Actress,2000,Audra McDonald,0,
DramaDesk,Actress,2000,Julia Murney,0,
DramaDesk,Actress,2001,Marla Schaffel,1,0
DramaDesk,Actress,2001,Christine Ebersole,0,
DramaDesk,Actress,2001,Kaitlin Hopkins,0,
DramaDesk,Actress,2001,LaChanze,0,
DramaDesk,Actress,2001,Sally Mayes,0,
DramaDesk,Actress,2001,Faith Prince,0,
DramaDesk,Actress,2002,Sutton Foster,1,1
DramaDesk,Actress,2002,Laura Benanti,0,
DramaDesk,Actress,2002,Garrett Long,0,
DramaDesk,Actress,2002,Louise Pitre,0,
DramaDesk,Actress,2002,Sherie Rene Scott,0,
DramaDesk,Actress,2002,Vanessa Williams,0,
DramaDesk,Actress,2003,Marissa Jaret Winokur,1,1
DramaDesk,Actress,2003,Stephanie D'Abruzzo,0,
DramaDesk,Actress,2003,Ann Duquesnay,0,
DramaDesk,Actress,2003,Wei Huang,0,
DramaDesk,Actress,2003,Elizabeth Parkinson,0,
DramaDesk,Actress,2003,Bernadette Peters,0,
DramaDesk,Actress,2004,Donna Murphy,1,0
DramaDesk,Actress,2004,Kristin Chenoweth,0,
DramaDesk,Actress,2004,Judy McLane,0,
DramaDesk,Actress,2004,Idina Menzel,0,
DramaDesk,Actress,2004,Elaine Paige,0,
DramaDesk,Actress,2004,Tonya Pinkins,0,
DramaDesk,Actress,2005,Victoria Clark,1,1
DramaDesk,Actress,2005,Christina Applegate,0,
DramaDesk,Actress,2005,Sutton Foster,0,
DramaDesk,Actress,2005,LaChanze,0,
DramaDesk,Actress,2005,Sherie Rene Scott,0,
DramaDesk,Actress,2005,Rachel York,0,
DramaDesk,Actress,2006,Christine Ebersole,1,0
DramaDesk,Actress,2006,Nancy Anderson,0,
DramaDesk,Actress,2006,Sutton Foster,0,
DramaDesk,Actress,2006,Patti LuPone,0,
DramaDesk,Actress,2006,Idina Menzel,0,
DramaDesk,Actress,2006,Kelli O'Hara,0,
DramaDesk,Actress,2007,Audra McDonald,1,0
DramaDesk,Actress,2007,Donna Murphy,0,
DramaDesk,Actress,2007,Laura Bell Bundy,0,
DramaDesk,Actress,2007,Ashley Brown,0,
DramaDesk,Actress,2007,Kristin Chenoweth,0,
DramaDesk,Actress,2007,Lea Michele,0,
DramaDesk,Actress,2008,Patti LuPone,1,1
DramaDesk,Actress,2008,Sierra Boggess,0,
DramaDesk,Actress,2008,Kelli O'Hara,0,
DramaDesk,Actress,2008,Faith Prince,0,
DramaDesk,Actress,2008,Alice Ripley,0,
DramaDesk,Actress,2008,Jenna Russell,0,
DramaDesk,Actress,2009,Allison Janney,1,0
DramaDesk,Actress,2009,Stephanie J. Block,0,
DramaDesk,Actress,2009,Stockard Channing,0,
DramaDesk,Actress,2009,Sutton Foster,0,
DramaDesk,Actress,2009,Megan Hilty,0,
DramaDesk,Actress,2009,Karen Murphy,0,
DramaDesk,Actress,2010,Montego Glover,1,0
DramaDesk,Actress,2010,Catherine Zeta-Jones,0,
DramaDesk,Actress,2010,Kate Baldwin,0,
DramaDesk,Actress,2010,Jayne Houdyshell,0,
DramaDesk,Actress,2010,Christiane Noll,0,
DramaDesk,Actress,2010,Sherie Rene Scott,0,
DramaDesk,Actress,2011,Sutton Foster,1,1
DramaDesk,Actress,2011,Beth Leavel,0,
DramaDesk,Actress,2011,Patina Miller,0,
DramaDesk,Actress,2011,Donna Murphy,0,
DramaDesk,Actress,2011,Sherie Rene Scott,0,
DramaDesk,Actress,2012,Audra McDonald,1,1
DramaDesk,Actress,2012,Miche Braden,0,
DramaDesk,Actress,2012,Jan Maxwell,0,
DramaDesk,Actress,2012,Kelli O'Hara,0,
DramaDesk,Actress,2012,Bernadette Peters,0,
DramaDesk,Actress,2012,Molly Ranson,0,
DramaDesk,Actress,2013,Laura Osnes,1,0
DramaDesk,Actress,2013,Kate Baldwin,0,
DramaDesk,Actress,2013,Stephanie J. Block,0,
DramaDesk,Actress,2013,Carolee Carmello,0,
DramaDesk,Actress,2013,Lindsay Mendez,0,
DramaDesk,Actress,2013,Donna Murphy,0,
DramaDesk,Actress,2013,Jenny Powers,0,
DramaDesk,Actress,2014,Jessie Mueller,1,1
DramaDesk,Actress,2014,Sutton Foster,0,
DramaDesk,Actress,2014,Idina Menzel,0,
DramaDesk,Actress,2014,Kelli O'Hara,0,
DramaDesk,Actress,2014,Margo Seibert,0,
DramaDesk,Actress,2014,Barrett Wilbert Weed,0,
DramaDesk,Actress,2015,Kristin Chenoweth,1,0
DramaDesk,Actress,2015,Kate Baldwin,0,
DramaDesk,Actress,2015,Leanne Cope,0,
DramaDesk,Actress,2015,Erin Davie,0,
DramaDesk,Actress,2015,Lisa Howard,0,
DramaDesk,Actress,2015,Chita Rivera,0,
DramaDesk,Actress,2016,Cynthia Erivo,1,1
DramaDesk,Actress,2016,Laura Benanti,0,
DramaDesk,Actress,2016,Carmen Cusack,0,
DramaDesk,Actress,2016,Jessie Mueller,0,
DramaDesk,Actress,2016,Annette O'Toole,0,
DramaDesk,Actress,2017,Bette Midler,1,1
DramaDesk,Actress,2017,Christy Altomare,0,
DramaDesk,Actress,2017,Christine Ebersole,0,
DramaDesk,Actress,2017,Sutton Foster,0,
DramaDesk,Actress,2017,Patti LuPone,0,
DramaDesk,Actress,2017,Laura Osnes,0,
DramaDesk,Actress,2018,Jessie Mueller,1,0
